BEANS PER JAR,JARS,TOTAL BEANS
878,719,631282
301,787,236887
515,894,460410
78,309,24102
826,799,659974
677,932,630964
459,549,251991
768,995,764160
22,377,8294
563,932,524716
415,873,362295
167,88,14696
187,953,178211
368,679,249872
909,381,346329
396,740,293040
610,746,455060
693,690,478170
45,76,3420
360,368,132480
768,870,668160
981,152,149112
489,941,460149
252,388,97776
359,585,210015
396,648,256608
904,236,213344
552,26,14352
890,825,734250
691,971,670961
968,88,85184
198,739,146322
588,471,276948
149,380,56620
864,246,212544
11,327,3597
473,541,255893
647,366,236802
84,83,6972
462,630,291060
131,452,59212
719,625,449375
332,421,139772
683,977,667291
818,557,455626
284,333,94572
378,237,89586
216,466,100656
291,65,18915
254,296,75184
142,351,49842
962,50,48100
774,214,165636
422,637,268814
174,437,76038
369,341,125829
161,524,84364
574,122,70028
595,428,254660
449,953,427897
650,70,45500
592,344,203648
212,219,46428
416,746,310336
495,869,430155
651,629,409479
728,451,328328
793,386,306098
643,912,586416
511,813,415443
285,876,249660
237,614,145518
112,206,23072
789,85,67065
512,939,480768
101,998,100798
248,770,190960
27,992,26784
147,394,57918
366,901,329766
974,613,597062
134,743,99562
799,159,127041
290,243,70470
940,913,858220
270,241,65070
988,234,231192
424,93,39432
93,261,24273
452,108,48816
936,653,611208
633,576,364608
429,26,11154
24,559,13416
483,556,268548
915,506,462990
400,121,48400
637,429,273273
188,992,186496
127,565,71755
776,567,439992
786,995,782070
806,928,747968
545,515,280675
527,448,236096
952,725,690200
218,19,4142
51,581,29631
955,455,434525
56,309,17304
853,744,634632
740,800,592000
222,713,158286
236,364,85904
282,877,247314
924,107,98868
394,357,140658
797,132,105204
72,694,49968
448,821,367808
36,141,5076
611,359,219349
393,732,287676
847,468,396396
744,221,164424
840,757,635880
477,440,209880
594,562,333828
985,65,64025
115,273,31395
385,28,10780
78,840,65520
38,191,7258
74,489,36186
414,783,324162
285,993,283005
306,356,108936
222,235,52170
515,561,288915
256,349,89344
999,908,907092
132,438,57816
793,202,160186
389,886,344654
194,776,150544
437,230,100510
89,157,13973
55,670,36850
431,987,425397
229,289,66181
262,442,115804
541,193,104413
294,532,156408
235,933,219255
554,284,157336
766,991,759106
564,364,205296
389,708,275412
66,289,19074
247,169,41743
923,70,64610
384,223,85632
773,193,149189
51,840,42840
850,449,381650
2,819,1638
191,45,8595
120,806,96720
341,98,33418
350,134,46900
766,485,371510
498,34,16932
632,478,302096
932,130,121160
